index,search_query,name,current_price,original_price,rating,reviews,discount,offers,image_url,delivery,availability,site,scraped_at
1,fridge double door fridge 5 star,"Samsung 236 L, 3 Star, Convertible, Digital Inverter with Display Frost Free Double Door Refrigerator (RT28C3733B1/HL, Black Matte/Black DOI)",N/A,N/A,4.2,(5.8K),N/A,,https://m.media-amazon.com/images/I/61aQVw2a9YL._AC_UY218_.jpg,N/A,3K+ bought in past month,amazon,2025-10-25T16:42:19.689155
2,fridge double door fridge 5 star,"IFB Smart Choice 331L, 3 Star, Tru Convertible 12-in-1, Advanced Inverter Compressor, Frost Free Double Door Refrigerator, WiFi Enabled, 4-Year Machine Warranty (IFBFF-3833DKSETU, Metal Black)",N/A,N/A,4.1,(160),N/A,,https://m.media-amazon.com/images/I/61CLU+Am1iL._AC_UY218_.jpg,N/A,100+ bought in past month,amazon,2025-10-25T16:42:19.693139
3,fridge double door fridge 5 star,"Godrej 223 L 3 Star Convertible Freezer 6-In-1 | AI Powered | Smart Defrost | 95%+ Food Surface Disinfection | Inverter Frost Free Double Door Refrigerator (RT EONVALOR 260C RCIF ST RH, Steel Rush)","20,990","₹35,790₹35,790",3.9,(1.7K),(41% off),,https://m.media-amazon.com/images/I/61zTXjNaKRL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",700+ bought in past month,amazon,2025-10-25T16:42:19.695156
4,fridge double door fridge 5 star,"Samsung 653 L, 3 Star, Frost Free, Double Door, Convertible 5-in-1 Digital Inverter, Side By Side AI Enabled Smart Refrigerator with WiFi (RS76CG8003S9HL, Silver, Refined Inox)",N/A,N/A,4.1,(2.3K),No featured offers available,,https://m.media-amazon.com/images/I/61Cblx5LWAL._AC_UY218_.jpg,N/A,1K+ bought in past month,amazon,2025-10-25T16:42:19.698155
5,fridge double door fridge 5 star,"Godrej 223 L 2 Star | AI Powered | 95%+ Food Surface Disinfection | Uniform 360° Cooling | Cool Balance Technology | Inverter Frost Free Double Door Refrigerator (RF EON 244B RI ST GL, Steel Glow)","19,990","₹33,690₹33,690",3.9,(1.7K),(41% off),,https://m.media-amazon.com/images/I/61duw-IR8kL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",300+ bought in past month,amazon,2025-10-25T16:42:19.700143
6,fridge double door fridge 5 star,"Samsung 330 L, 3 Star, Convertible 5-in-1, Digital Inverter, Frost Free Double Door, WiFi Enabled Bespoke AI Refrigerator (RT34DG5A4DBXHL, Luxe Black)","39,490","₹57,990₹57,990",4.0,(1.9K),(32% off),"Save ₹1,000with coupon; with coupon",https://m.media-amazon.com/images/I/61DIrcgNQuL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",700+ bought in past month,amazon,2025-10-25T16:42:19.702139
7,fridge double door fridge 5 star,"Godrej 183 L 3 Star | Toughened Glass Shelves | 24 Day Farm Freshness | Jumbo Vegetable Tray | Turbo Cooling Technology | Direct Cool Single Door Refrigerator (RD R190C THF FR BL, Floral Blue)","13,490","₹21,590₹21,590",3.8,(2.5K),(38% off),,https://m.media-amazon.com/images/I/71KQDy7d6-L._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",600+ bought in past month,amazon,2025-10-25T16:42:19.704138
8,fridge double door fridge 5 star,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)","36,990","₹46,999₹46,999",4.1,(1.9K),(21% off),"Save ₹2,000with coupon; with coupon",https://m.media-amazon.com/images/I/71PxkYFHoRL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",700+ bought in past month,amazon,2025-10-25T16:42:19.707158
9,fridge double door fridge 5 star,Whirlpool 235 L Frost Free Triple-Door Refrigerator (FP 253D PROTTON ROY RADIANT STEEL(Z) Double Door Refrigerator space),"26,990","₹35,800₹35,800",3.8,(11.2K),(25% off),,https://m.media-amazon.com/images/I/61RBQL-aq4L._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",2K+ bought in past month,amazon,2025-10-25T16:42:19.710138
10,fridge double door fridge 5 star,"Samsung 419 L, 3 Star, Convertible 5-in-1, Digital Inverter, Frost Free Double Door, Bespoke AI WiFi Enabled Refrigerator (RT45DG6A4DB1HL, Black Matte/Black DOI)","50,990","₹71,990₹71,990",4.1,(1.2K),(29% off),"Save ₹3,000with coupon; with coupon",https://m.media-amazon.com/images/I/61DIrcgNQuL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",700+ bought in past month,amazon,2025-10-25T16:42:19.712154
