index,search_query,name,current_price,original_price,rating,reviews,discount,offers,image_url,delivery,availability,site,scraped_at
1,mobile phones,"Samsung Galaxy M06 5G (Blazing Black, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands | 25W Fast Charging | 4 Gen of OS Upgrades | Without Charger","₹8,999","₹15,499",3.9,4,Limited time deal,"Sponsored; 5K+ bought in past month; M.R.P:; FREE deliverySun, 2 Nov",https://m.media-amazon.com/images/I/71iMTdPA34L._AC_UY218_.jpg,"FREE deliverySun, 2 Nov",5K+ bought in past month,amazon,2025-10-25T16:59:01.621798
2,mobile phones,"iPhone 17 Pro 1 TB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fusion Camera System with Center Stage Front Camera; Cosmic Orange","₹1,74,900",N/A,4.4,20,N/A,"Up to 5% back with Amazon Pay ICICI card; Up to 5% back with Amazon Pay ICICI...; Sponsored; Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI...; FREE deliveryWed, 29 Oct",https://m.media-amazon.com/images/I/71JGCn1z1TL._AC_UY218_.jpg,"FREE deliveryWed, 29 Oct",N/A,amazon,2025-10-25T16:59:01.633796
3,mobile phones,"Samsung Galaxy A55 5G (Awesome Navy, 8GB RAM, 128GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED Display","₹23,999","₹42,999",4.2,3,(44% off),"4K+ bought in past month; M.R.P:; Save extra with No Cost EMISave extra with No Cost EMI; FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",https://m.media-amazon.com/images/I/71auR6K7DpL._AC_UY218_.jpg,"FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",4K+ bought in past month,amazon,2025-10-25T16:59:01.642814
4,mobile phones,"Redmi A4 5G (Starry Black, 4GB RAM, 64GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in The Box","₹7,499","₹10,999",4.0,8,Limited time deal,"5K+ bought in past month; M.R.P:; FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",https://m.media-amazon.com/images/I/718HzJbvY1L._AC_UY218_.jpg,"FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",5K+ bought in past month,amazon,2025-10-25T16:59:01.648814
5,mobile phones,POCO M6 Plus 5G Graphite Black 8GB RAM 128GB ROM,"₹10,374","₹14,499",4.0,1,(28% off),"2K+ bought in past month; M.R.P:; FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",https://m.media-amazon.com/images/I/71tsuJCkV+L._AC_UY218_.jpg,"FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",2K+ bought in past month,amazon,2025-10-25T16:59:01.656798
6,mobile phones,OnePlus Nord 5 | Snapdragon 8s Gen 3 | Stable 144FPS Gaming | Dual 50MP Flagship Camera | Powered by OnePlus AI | 12GB + 512GB | Phantom Grey,"₹37,999","₹40,999",4.4,2,(7% off),"Up to 5% back with Amazon Pay ICICI card; Up to 5% back with Amazon Pay ICICI...; 1K+ bought in past month; M.R.P:; Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI...; FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",https://m.media-amazon.com/images/I/61qKkGW41SL._AC_UY218_.jpg,"FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",1K+ bought in past month,amazon,2025-10-25T16:59:01.663796
7,mobile phones,"Redmi 13 5G Prime Edition, Hawaiian Blue, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","₹10,999","₹19,999",4.1,3,Limited time deal,"5K+ bought in past month; M.R.P:; Save extra with No Cost EMISave extra with No Cost EMI; FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",https://m.media-amazon.com/images/I/81CQZB2t52L._AC_UY218_.jpg,"FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",5K+ bought in past month,amazon,2025-10-25T16:59:01.671799
8,mobile phones,"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm® Snapdragon™ 7 Gen 3 - Best in The Segment | 50 MP Camera with OIS","₹18,999","₹24,999",4.3,11,Limited time deal,"5K+ bought in past month; M.R.P:; FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",https://m.media-amazon.com/images/I/61nxQ62qglL._AC_UY218_.jpg,"FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",5K+ bought in past month,amazon,2025-10-25T16:59:01.678798
9,mobile phones,"Lava Bold N1 Pro (Titanium Gold, 4 GB RAM, 128 GB Storage)| Bigger 6.67"" HD+ IP54 Display | 120 Hz Refresh Rate | 50 MP AI Triple Rear Camera | 8 MP Front Camera| 5000 mAh Battery | Charger in Box","₹6,798","₹8,339",4.0,1,(18% off),"3K+ bought in past month; M.R.P:; FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",https://m.media-amazon.com/images/I/71+JazMDXhL._AC_UY218_.jpg,"FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",3K+ bought in past month,amazon,2025-10-25T16:59:01.687804
10,mobile phones,"realme NARZO 80 Lite 5G (Crystal Purple, 6GB+128GB) | 6000mAh Long-Lasting Battery | MediaTek Dimensity 6300 5G | AI Assist | IP64 Rated Water & Dust Resistance | Military-Grade Durability","₹10,749","₹14,999",4.2,1,(28% off),"5K+ bought in past month; M.R.P:; FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",https://m.media-amazon.com/images/I/71Vjn1DfArL._AC_UY218_.jpg,"FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",5K+ bought in past month,amazon,2025-10-25T16:59:01.694795
11,mobile phones,"iPhone Air 1 TB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center Stage Front Camera, All-Day Battery Life; Sky Blue","₹1,59,900",N/A,2.8,15,N/A,"Up to 5% back with Amazon Pay ICICI card; Up to 5% back with Amazon Pay ICICI...; Sponsored; Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI...; FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",https://m.media-amazon.com/images/I/61Ce-6B6x+L._AC_UY218_.jpg,"FREE deliveryWed, 29 OctOr fastest deliveryTue, 28 Oct",N/A,amazon,2025-10-25T16:59:01.706846
