index,search_query,name,current_price,original_price,rating,reviews,discount,offers,image_url,delivery,availability,site,scraped_at
19,mobile phones,"realme C61 (Marble Black, 64 GB)4.426,866 Ratings&797 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories₹6,499₹8,99927% offSuper DealsOnly 2 left","₹6,499","₹8,999",4.4,26,27% off,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/v/z/-original-imah28xpzzwz4fwg.jpeg,N/A,N/A,flipkart,2025-10-25T16:55:11.391329
20,mobile phones,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)4.130,599 Ratings&1,847 Reviews4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories₹7,999₹13,99942% offSuper DealsUpto₹5,900Off on Exchange","₹7,999","₹13,999",4.1,30,42% off,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/o/d/-original-imahfvrmfkwybeyc.jpeg,N/A,N/A,flipkart,2025-10-25T16:55:11.396371
21,mobile phones,"POCO C71 (Desert Gold, 64 GB)3.941,328 Ratings&1,900 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹6,199₹8,99931% offSuper DealsUpto₹4,450Off on Exchange","₹6,199","₹8,999",3.9,41,31% off,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/m/u/-original-imahgbazejg7ry6m.jpeg,N/A,N/A,flipkart,2025-10-25T16:55:11.400353
22,mobile phones,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)4.492,733 Ratings&4,781 Reviews8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display50MP + 13MP | 32MP Front Camera5500 mAh BatteryDimensity 7400 Processor68W Charger1 Year Warranty on Handset and 6 Months Warranty on Accessories₹19,999₹25,99923% offSuper DealsUpto₹15,100Off on Exchange","₹19,999","₹25,999",4.4,92,23% off,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/z/x/-original-imahgqnzzgfbyevh.jpeg,N/A,N/A,flipkart,2025-10-25T16:55:11.406305
23,mobile phones,"vivo T4x 5G (Marine Blue, 128 GB)4.41,68,627 Ratings&7,553 Reviews6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories₹13,499₹17,99925% offSuper DealsUpto₹10,150Off on Exchange","₹13,499","₹17,999",4.4,1,25% off,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/n/v/-original-imahavdveeghweea.jpeg,N/A,N/A,flipkart,2025-10-25T16:55:11.411357
24,mobile phones,"MOTOROLA g05 (Plum Red, 64 GB)4.265,109 Ratings&4,102 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5100 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories₹6,999₹9,99930% offUpto₹5,100Off on ExchangeBank Offer","₹6,999","₹9,999",4.2,65,30% off,,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/j/b/-original-imah83ezvx8m7hs6.jpeg,N/A,N/A,flipkart,2025-10-25T16:55:11.415353
1,vivo mobile,Vivo Y31 Pro 5G  8GB RAM 128GB (Y31PRO5G8128GB),"₹18,999","₹23,999",N/A,N/A,"(Save ₹5,000,
                                                                                21%
                                                                                off)","(Save ₹5,000,
                                                                                21%
                                                                                off)",https://www.sathya.store/img/product/j6FftQN5FZwsaIZi.png,N/A,N/A,sathya,2025-10-25T16:55:34.600670
2,vivo mobile,"Vivo Y31 5G  6GB RAM, 128GB (Y315G6128GB)","₹16,499","₹19,999",N/A,N/A,"(Save ₹3,500,
                                                                                18%
                                                                                off)","(Save ₹3,500,
                                                                                18%
                                                                                off)",https://www.sathya.store/img/product/s80OXYkJT8pZIFr5.png,N/A,N/A,sathya,2025-10-25T16:55:34.602664
3,vivo mobile,"Vivo Y400 Mobile 5G 8GB RAM, 128GB (Y4005G8128GB)","₹21,999","₹25,999",N/A,N/A,"(Save ₹4,000,
                                                                                15%
                                                                                off)","(Save ₹4,000,
                                                                                15%
                                                                                off)",https://www.sathya.store/img/product/zLC1BhTmKGYU7m2D.png,N/A,N/A,sathya,2025-10-25T16:55:34.604661
4,vivo mobile,"Vivo V60 5G 8GB RAM, 256GB (V605G8256GB)","₹38,999","₹43,999",N/A,N/A,"(Save ₹5,000,
                                                                                11%
                                                                                off)","(Save ₹5,000,
                                                                                11%
                                                                                off)",https://www.sathya.store/img/product/eQnKYCTgEYxpszod.png,N/A,N/A,sathya,2025-10-25T16:55:34.606676
5,vivo mobile,"Vivo V60e 5G (8GB RAM, 256GB Storage, V60E5G8256GB)","₹31,999","₹36,999",N/A,N/A,"(Save ₹5,000,
                                                                                14%
                                                                                off)","(Save ₹5,000,
                                                                                14%
                                                                                off)",https://www.sathya.store/img/product/w5HNXc68WflBOxSH.png,N/A,N/A,sathya,2025-10-25T16:55:34.607681
6,vivo mobile,"Vivo Y19e (Y19E4G464GBGB, 4GB RAM, 64GB Storage)","₹7,999","₹11,999",N/A,N/A,"(Save ₹4,000,
                                                                                33%
                                                                                off)","(Save ₹4,000,
                                                                                33%
                                                                                off)",https://www.sathya.store/img/product/ygVWFQ0FqxaShMBv.jpg,N/A,N/A,sathya,2025-10-25T16:55:34.609676
7,vivo mobile,"Vivo Y19 5G Mobile Phone (Y195G6128GB, 4GB RAM, 128GB Storage)","₹12,999","₹16,499",N/A,N/A,"(Save ₹3,500,
                                                                                21%
                                                                                off)","(Save ₹3,500,
                                                                                21%
                                                                                off)",https://www.sathya.store/img/product/zuLJac90Uf7EUIMN.png,N/A,N/A,sathya,2025-10-25T16:55:34.612620
8,vivo mobile,"Vivo V60e 5G (12GB RAM, 256GB Storage, V60E5G12256GB)","₹33,999","₹38,999",N/A,N/A,"(Save ₹5,000,
                                                                                13%
                                                                                off)","(Save ₹5,000,
                                                                                13%
                                                                                off)",https://www.sathya.store/img/product/rlX0KReoHUUijmKO.png,Delivery in 1 week,N/A,sathya,2025-10-25T16:55:34.613619
9,vivo mobile,"Vivo Y19 5G Mobile Phone (4GB RAM, 128GB Storage, Y195G4128GB)","₹11,499","₹15,499",N/A,N/A,"(Save ₹4,000,
                                                                                26%
                                                                                off)","(Save ₹4,000,
                                                                                26%
                                                                                off)",https://www.sathya.store/img/product/XpDwKAmJ40AdpO1N.png,N/A,N/A,sathya,2025-10-25T16:55:34.615617
10,vivo mobile,vivo V50e 5G (256 GB)  (8 GB RAM) (V50E5G8256GB),"₹28,999","₹30,999",N/A,N/A,"(Save ₹2,000,
                                                                                6%
                                                                                off)","(Save ₹2,000,
                                                                                6%
                                                                                off)",https://www.sathya.store/img/product/USvmRzg8qjAeJKvK.png,N/A,N/A,sathya,2025-10-25T16:55:34.617656
11,vivo mobile,"Vivo V60e 5G (8GB RAM, 128GB Storage, V60E5G8128GB)","₹29,999","₹34,999",N/A,N/A,"(Save ₹5,000,
                                                                                14%
                                                                                off)","(Save ₹5,000,
                                                                                14%
                                                                                off)",https://www.sathya.store/img/product/sxNYafNE16TjMwhx.png,N/A,N/A,sathya,2025-10-25T16:55:34.618663
12,vivo mobile,vivo V50e 5G (128 GB)  (8 GB RAM) (V50E5G8128GB),"₹26,998","₹28,999",N/A,N/A,"(Save ₹2,001,
                                                                                7%
                                                                                off)","(Save ₹2,001,
                                                                                7%
                                                                                off)",https://www.sathya.store/img/product/ZQVJvx5vqTtkmBgj.png,N/A,N/A,sathya,2025-10-25T16:55:34.620658
