index,search_query,name,current_price,original_price,rating,reviews,discount,offers,image_url,delivery,availability,site,scraped_at
9,N/A,"SponsoredCason Wireless + Wired (6000 mAh Battery & 12V USB Port) Tyre Inflator for Car,Bike & Cycle",6000,N/A,93.9,N/A,N/A,,N/A,N/A,N/A,amazon,2025-10-25T16:51:00.208291
10,N/A,"SponsoredCason Wireless + Wired (6000 mAh Battery & 12V USB Port) Tyre Inflator for Car,Bike & Cycle",6000,N/A,93.9,N/A,N/A,,N/A,N/A,N/A,amazon,2025-10-25T16:51:00.208291
1,N/A,"Add to CompareSamsung Galaxy A35 5G (Awesome Iceblue, 256 GB)4.450,388 Ratings&2,947 Reviews8 GB RAM",35,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,flipkart,2025-10-25T16:51:02.839693
2,N/A,"Add to Comparerealme P3 Ultra 5G (Neptune Blue, 128 GB)4.413,120 Ratings&1,314 Reviews8 GB RAM | 128",3,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,flipkart,2025-10-25T16:51:02.839693
3,N/A,"Add to ComparePOCO C71 (Cool Blue, 128 GB)4.121,200 Ratings&1,013 Reviews6 GB RAM | 128 GB ROM | Exp",71,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,flipkart,2025-10-25T16:51:02.839693
4,N/A,"Add to ComparePOCO M7 Pro 5G (Lunar Dust, 128 GB)4.326,483 Ratings&2,016 Reviews6 GB RAM | 128 GB RO",7,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,flipkart,2025-10-25T16:51:02.839693
5,N/A,"Add to CompareGoogle Pixel 9A (Obsidian, 256 GB)4.43,231 Ratings&245 Reviews8 GB RAM | 256 GB ROM15.",9,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,flipkart,2025-10-25T16:51:02.839693
6,N/A,"Add to CompareGoogle Pixel 9A (Porcelain, 256 GB)4.43,231 Ratings&245 Reviews8 GB RAM | 256 GB ROM15",9,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,flipkart,2025-10-25T16:51:02.840691
7,N/A,"Add to CompareOPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Breeze Blue, 128 GB)4.560,819 Rat",13,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,flipkart,2025-10-25T16:51:02.840691
8,N/A,"Add to Comparevivo T4x 5G (Glacial Teal, 128 GB)4.41,68,627 Ratings&7,553 Reviews6 GB RAM | 128 GB R",4,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,flipkart,2025-10-25T16:51:02.840691
9,N/A,"Add to CompareOPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)4.416,157 Ra",13,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,flipkart,2025-10-25T16:51:02.840691
10,N/A,"Add to CompareSamsung Galaxy F06 5G (Bahama Blue, 64 GB)4.130,599 Ratings&1,847 Reviews4 GB RAM | 64",06,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,flipkart,2025-10-25T16:51:02.840691
1,vivo mobile,Vivo Y31 Pro 5G  8GB RAM 128GB (Y31PRO5G8128GB),"₹18,999","₹23,999",N/A,N/A,"(Save ₹5,000,
                                                                                21%
                                                                                off)","(Save ₹5,000,
                                                                                21%
                                                                                off)",https://www.sathya.store/img/product/j6FftQN5FZwsaIZi.png,N/A,N/A,sathya,2025-10-25T16:51:25.367804
2,vivo mobile,"Vivo Y31 5G  6GB RAM, 128GB (Y315G6128GB)","₹16,499","₹19,999",N/A,N/A,"(Save ₹3,500,
                                                                                18%
                                                                                off)","(Save ₹3,500,
                                                                                18%
                                                                                off)",https://www.sathya.store/img/product/s80OXYkJT8pZIFr5.png,N/A,N/A,sathya,2025-10-25T16:51:25.370793
