index,search_query,name,current_price,original_price,rating,reviews,discount,offers,image_url,delivery,availability,site,scraped_at
1,fridge double door fridge 5 star,"Samsung 236 L, 3 Star, Convertible, Digital Inverter with Display Frost Free Double Door Refrigerator (RT28C3733B1/HL, Black Matte/Black DOI)",N/A,N/A,4.2,(5.8K),N/A,,https://m.media-amazon.com/images/I/61aQVw2a9YL._AC_UY218_.jpg,N/A,3K+ bought in past month,amazon,2025-10-25T16:29:45.373534
2,fridge double door fridge 5 star,"IFB Smart Choice 331L, 3 Star, Tru Convertible 12-in-1, Advanced Inverter Compressor, Frost Free Double Door Refrigerator, WiFi Enabled, 4-Year Machine Warranty (IFBFF-3833DKSETU, Metal Black)",N/A,N/A,4.1,(160),N/A,,https://m.media-amazon.com/images/I/61CLU+Am1iL._AC_UY218_.jpg,N/A,100+ bought in past month,amazon,2025-10-25T16:29:45.376534
3,fridge double door fridge 5 star,"Godrej 223 L 3 Star Convertible Freezer 6-In-1 | AI Powered | Smart Defrost | 95%+ Food Surface Disinfection | Inverter Frost Free Double Door Refrigerator (RT EONVALOR 260C RCIF ST RH, Steel Rush)","20,990","₹35,790₹35,790",3.9,(1.7K),(41% off),,https://m.media-amazon.com/images/I/61zTXjNaKRL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",700+ bought in past month,amazon,2025-10-25T16:29:45.380527
4,fridge double door fridge 5 star,"Samsung 653 L, 3 Star, Frost Free, Double Door, Convertible 5-in-1 Digital Inverter, Side By Side AI Enabled Smart Refrigerator with WiFi (RS76CG8003S9HL, Silver, Refined Inox)",N/A,N/A,4.1,(2.3K),No featured offers available,,https://m.media-amazon.com/images/I/61Cblx5LWAL._AC_UY218_.jpg,N/A,1K+ bought in past month,amazon,2025-10-25T16:29:45.383521
5,fridge double door fridge 5 star,"Samsung 330 L, 3 Star, Convertible 5-in-1, Digital Inverter, Frost Free Double Door, WiFi Enabled Bespoke AI Refrigerator (RT34DG5A4DBXHL, Luxe Black)","39,490","₹57,990₹57,990",4.0,(1.9K),(32% off),"Save ₹1,000with coupon; with coupon",https://m.media-amazon.com/images/I/61DIrcgNQuL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",700+ bought in past month,amazon,2025-10-25T16:29:45.385543
6,fridge double door fridge 5 star,"Godrej 223 L 2 Star | AI Powered | 95%+ Food Surface Disinfection | Uniform 360° Cooling | Cool Balance Technology | Inverter Frost Free Double Door Refrigerator (RF EON 244B RI ST GL, Steel Glow)","19,990","₹33,690₹33,690",3.9,(1.7K),(41% off),,https://m.media-amazon.com/images/I/61duw-IR8kL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",300+ bought in past month,amazon,2025-10-25T16:29:45.388518
7,fridge double door fridge 5 star,"Godrej 183 L 3 Star | Toughened Glass Shelves | 24 Day Farm Freshness | Jumbo Vegetable Tray | Turbo Cooling Technology | Direct Cool Single Door Refrigerator (RD R190C THF FR BL, Floral Blue)","13,490","₹21,590₹21,590",3.8,(2.5K),(38% off),,https://m.media-amazon.com/images/I/71KQDy7d6-L._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",600+ bought in past month,amazon,2025-10-25T16:29:45.390535
8,fridge double door fridge 5 star,"LG 322 L 3 Star Frost-Free Smart Inverter Double Door Refrigerator (GL-S342SDSX, Dazzle Steel, Convertible with Express Freeze)","36,990","₹46,999₹46,999",4.1,(1.9K),(21% off),"Save ₹2,000with coupon; with coupon",https://m.media-amazon.com/images/I/71PxkYFHoRL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",700+ bought in past month,amazon,2025-10-25T16:29:45.392533
9,fridge double door fridge 5 star,Whirlpool 235 L Frost Free Triple-Door Refrigerator (FP 253D PROTTON ROY RADIANT STEEL(Z) Double Door Refrigerator space),"26,990","₹35,800₹35,800",3.8,(11.2K),(25% off),,https://m.media-amazon.com/images/I/61RBQL-aq4L._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",2K+ bought in past month,amazon,2025-10-25T16:29:45.395521
10,fridge double door fridge 5 star,"Samsung 419 L, 3 Star, Convertible 5-in-1, Digital Inverter, Frost Free Double Door, Bespoke AI WiFi Enabled Refrigerator (RT45DG6A4DB1HL, Black Matte/Black DOI)","50,990","₹71,990₹71,990",4.1,(1.2K),(29% off),"Save ₹3,000with coupon; with coupon",https://m.media-amazon.com/images/I/61DIrcgNQuL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",700+ bought in past month,amazon,2025-10-25T16:29:45.399519
11,fridge double door fridge 5 star,"Samsung 550 L, Convertible, Digital Inverter, Frost Free French Door Refrigerator (RF57A5032S9/TL, Silver, Refined Inox)","69,990","₹87,990₹87,990",4.2,(643),(20% off),"Save ₹3,000with coupon; with coupon",https://m.media-amazon.com/images/I/61fvqo8WlhL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",300+ bought in past month,amazon,2025-10-25T16:29:45.402622
12,fridge double door fridge 5 star,"IFB Smart Choice 241L 3 Star Tru Convertible 10-in-1 Advanced Inverter Frost Free Double Door Refrigerator (IFBFF-2913DKSET, Metal Black, 360 Degree Cooling, Extraordinary Space)","25,990",₹10.78₹10.78,4.2,(278),(35% off),,https://m.media-amazon.com/images/I/51z8sXRymhL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",400+ bought in past month,amazon,2025-10-25T16:29:45.405519
13,fridge double door fridge 5 star,"Samsung 633 L, 3 Star, Frost Free, Double Door, Convertible 5-in-1 Digital Inverter, Side By Side Refrigerator with AI, WiFi & Water & Ice Dispenser (RS78CG8543S9HL, Silver, Refined Inox)","1,12,990","₹1,52,000₹1,52,000",4.3,(790),(26% off),"Save ₹3,000with coupon; with coupon",https://m.media-amazon.com/images/I/71jzzqmfApL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",100+ bought in past month,amazon,2025-10-25T16:29:45.407620
14,fridge double door fridge 5 star,"Haier 240L 2 Star Frost Free Top Mount Double Door Refrigerator|Cool Pad|200% Faster Ice Making in 49 Minutes (HEF-252EGS-P, Moon Silver)",N/A,N/A,4.2,(685),No featured offers available,,https://m.media-amazon.com/images/I/61oinNdgo9L._AC_UY218_.jpg,N/A,900+ bought in past month,amazon,2025-10-25T16:29:45.411519
15,fridge double door fridge 5 star,"Samsung 350 L, 3 Star, Convertible 5-in-1, Digital Inverter, Frost Free Double Door, WiFi Enabled Bespoke AI Refrigerator (RT38DG5A4DS8HL, Elegant Inox, Silver)","40,990","₹59,990₹59,990",4.0,(3.3K),(32% off),,https://m.media-amazon.com/images/I/61ijZofCEzL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",700+ bought in past month,amazon,2025-10-25T16:29:45.413525
16,fridge double door fridge 5 star,"Samsung 653 L, 3 Star, Frost Free, Double Door, Convertible 5-in-1 Digital Inverter, Side By Side AI Enabled Smart Refrigerator with WiFi (RS76CG8003B1HL, Black Matte/Black DOI)","81,990","₹1,21,000₹1,21,000",4.2,(450),(32% off),"Save ₹3,000with coupon; with coupon",https://m.media-amazon.com/images/I/619ZkcJhq2L._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",200+ bought in past month,amazon,2025-10-25T16:29:45.416519
17,fridge double door fridge 5 star,"Samsung Smart Choice 467 L, 3 Star, Convertible 5-in-1, Digital Inverter, Frost Free Double Door, Bespoke AI WiFi Enabled Refrigerator (RT80F51C3KHL, Luxe Black)","60,990","₹82,999₹82,999",4.1,(1.7K),(27% off),"Save ₹3,000with coupon; with coupon",https://m.media-amazon.com/images/I/61mO73jaLWL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",100+ bought in past month,amazon,2025-10-25T16:29:45.419520
18,fridge double door fridge 5 star,Whirlpool 235 L 2 Star Frost Free inverter Double Door Refrigerator (NEO DF278 PRM RADIANT STEEL(2S)-TL),"20,490","₹30,200₹30,200",3.9,(3K),(32% off),"Save ₹1,000with coupon; with coupon",https://m.media-amazon.com/images/I/51yxzxwn3LL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",900+ bought in past month,amazon,2025-10-25T16:29:45.422533
19,fridge double door fridge 5 star,"Midea 253 L,2 Star Frost Free Double Door Refrigerator with real Inverter Compressor, Deo Fresh TechnologyEnergy Efficient,Stabilizer Free Operation, Adjustable Shelves (MDRT350FGI50, Crystal Silver)","22,490","₹31,990₹31,990",3.4,(4),(30% off),,https://m.media-amazon.com/images/I/71blDR6YirL._AC_UY218_.jpg,"FREE delivery as soon asWed, 29 Oct, 7 am - 9 pm",50+ bought in past month,amazon,2025-10-25T16:29:45.423532
20,fridge double door fridge 5 star,"Haier 240L 3 Star Frost Free Top Mount Double Door Refrigerator|5 In 1 Convertible Modes|Twin Inverter|200% Faster Ice Making in 49 Minutes (HEF-253GB-P, GE Black)",N/A,N/A,4.2,(89),No featured offers available,,https://m.media-amazon.com/images/I/61tr7u-16EL._AC_UY218_.jpg,N/A,100+ bought in past month,amazon,2025-10-25T16:29:45.426683
